Date Added,Entity Name,Website,Location,Description,Lat,Lng,Image URL,Funding,Entity Type,Entity Category,Company Type,Country,Has Vehicles?
11/24/25,Saronic Technologies,https://www.saronic.com/,Austin TX,"Saronic is a defense technology startup founded in 2022 that develops a full range of autonomous surface vessels from small 14-foot platforms to the 150-foot Marauder medium USV. The company secured a $392 million Navy contract to deliver autonomous vessels by 2031 and acquired a Louisiana shipyard to enable production of up to 50 vessels annually. Their modular ASV family includes the Cutlass, Corsair, Mirage, Cipher, and Marauder, all designed with open architecture for multi-mission flexibility and built for scalable mass production.",30.267153,-97.743057,https://zrwmb79p32.ufs.sh/f/TyYukHBJrHb9im0ufQeSBIz1rRXYm2e3Wb5EZxqaGvVs86cw,845000000,company,usv platform,New Prime,USA,TRUE
11/24/25,HavocAI,https://www.havocai.com/,Providence RI,"Founded in early 2024 by Navy veterans, HavocAI has rapidly scaled to produce swarm-capable autonomous surface vessels with collaborative autonomy technology allowing single operators to control multiple vessels simultaneously. The company raised $85 million in 2025 and has partnered with Lockheed Martin to develop medium USVs, having already delivered over 50 of its 14-foot vessels to the DoD with plans for 100-foot platforms. HavocAI specializes in scalable maritime autonomy and has demonstrated control of 25 autonomous vessels from one operations center across multiple continents.",41.82399,-71.412834,https://zrwmb79p32.ufs.sh/f/TyYukHBJrHb9Pa6P0rfdJbi8IykUfHBTSX6KpFOGsMho720e,97000000,company,usv platform,Startup,USA,TRUE
11/24/25,BlackSea Tech/MAPC,https://www.blacksea.tech/,Baltimore MD,"Formed in 2022 through the acquisition of Maritime Applied Physics Corporation (founded 1986) and other companies, BlackSea Technologies produces the 16-foot Global Autonomous Reconnaissance Craft (GARC) at historic Baltimore shipyards. The company delivers over 30 GARCs per month under a Navy contract worth up to $213 million, with vessels achieving 40+ knot speeds and 1,000-pound payload capacity. GARC has accumulated over 5,000 operational hours supporting U.S. Navy fleet operations globally and is used by multiple unmanned surface vessel squadrons including USVRON-7.",39.290386,-76.61219,https://zrwmb79p32.ufs.sh/f/TyYukHBJrHb9yVSnaNF7G3BCg9Qf6nKtsAYaqPvHNURyhWDz,,company,usv platform,Mid-Tier,USA,TRUE
11/24/25,Blue Water Autonomy,https://www.blw.ai/,Boston MA,"Founded in 2024 by Navy veterans and former Amazon Robotics executives, Blue Water Autonomy emerged from stealth with $64 million in funding to build long-range, fully autonomous 100-foot ships for the Navy. The company partnered with Conrad Shipyard in Louisiana for production and is developing full-stack autonomy technology designed for months-long missions at sea. With a team that includes proven robotics founders and shipbuilding veterans who delivered 30+ ships to the Navy, Blue Water focuses on highly producible unmanned vessels to complement the traditional fleet.",42.360081,-71.058884,https://zrwmb79p32.ufs.sh/f/TyYukHBJrHb9mDDwIz4GRAG8zUZWykt3THjc5vFrYwpL7f2E,64000000,company,usv platform,Startup,USA,TRUE
11/24/25,Seasats,https://seasats.com/,San Diego CA,"Seasats designs and manufactures lightweight autonomous surface vehicles including the solar-powered 11-foot Lightfish and the high-speed 24-foot Quickfish interceptor capable of 35+ knots. The company secured an $89 million Navy IDIQ contract for USV delivery to the Marine Corps and has demonstrated trans-Pacific voyages, with one Lightfish completing a 7,500-mile autonomous journey from San Diego to Japan. Backed by L3Harris and Shield Capital, Seasats' vessels combine multi-month endurance with modular payloads for defense, scientific, and commercial applications.",32.7174202,-117.162772,https://zrwmb79p32.ufs.sh/f/TyYukHBJrHb9ssZCezDlpTvANngIt8jBRQ5faE2c6wLheoWY,19000000,company,usv platform,Startup,USA,TRUE
11/24/25,Saildrone,https://www.saildrone.com/,Alameda CA,"Founded in 2012 by engineer Richard Jenkins, Saildrone manufactures wind and solar-powered autonomous surface vehicles ranging from the 23-foot Explorer to the 72-foot Surveyor class vessel. The company operates the world's largest fleet of USVs for ocean data collection, with vehicles that can remain at sea for up to 12 months collecting meteorological and oceanographic data. Saildrone has completed landmark missions including the first autonomous circumnavigation of Antarctica and serves customers including NOAA, the U.S. Navy, Coast Guard, and international research institutions.",37.6090291,-121.899142,https://zrwmb79p32.ufs.sh/f/TyYukHBJrHb9DSt8cwzPFHPydTYRlvfXViMua2E7mGQIW0rJ,300000000,company,usv platform,Mid-Tier,USA,TRUE
11/24/25,Sea Machines Robotics,https://sea-machines.com/,Boston MA,"Founded in 2015, Sea Machines develops autonomous control and navigation systems (SM300 and SM200) that can be retrofitted onto existing commercial vessels or integrated into new builds. The company has delivered 200+ autonomous systems worldwide across vessels ranging from 10 to 300 feet, serving both defense and commercial customers with technology proven in GPS-denied environments. Sea Machines recently launched the SELKIE turnkey autonomous USV series and has raised over $32 million from investors including Huntington Ingalls Industries, Toyota AI Ventures, and Brunswick Corporation.",42.3554334,-71.060511,https://zrwmb79p32.ufs.sh/f/TyYukHBJrHb9alTGc4hNGFgVJsw0xbPjSHfyBmc1Dv8kMaYO,44000000,company,usv platform,Startup,USA,TRUE
11/24/25,L3Harris Technologies,https://www.l3harris.com/all-capabilities/uncrewed-surface-vehicles-usvs,Melbourne FL,"L3Harris is a world leader in unmanned surface vehicles with over 500 autonomous systems delivered globally, featuring proprietary ASView autonomy technology for vessel control and conversion. The company serves as prime contractor for the Navy's Medium Unmanned Surface Vehicle (MUSV) program, a $281 million contract to build 195-foot autonomous vessels for ISR missions. L3Harris provides complete USV solutions from small target boats to large survey platforms, with systems actively serving international navies, research institutions, and commercial operations.",28.0785034,-80.6077908,https://zrwmb79p32.ufs.sh/f/TyYukHBJrHb9m8DbQQGRAG8zUZWykt3THjc5vFrYwpL7f2EK,,company,usv platform,Legacy,USA,TRUE
11/24/25,Leidos,https://www.leidos.com/capabilities/integrated-systems/autonomy-and-autonomous-solutions,Reston VA,Leidos is a major defense technology integrator providing autonomy and autonomous solutions across multiple domains including maritime systems. The company leverages AI and machine learning to deliver integrated autonomous capabilities for defense and intelligence customers. Leidos has extensive experience in systems integration and mission-critical technology development for government agencies.,38.9587514,-77.3585955,https://zrwmb79p32.ufs.sh/f/TyYukHBJrHb9QhgkXeyJYZEOsIl2MBSj3qcnwf6LRdND8KPH,,company,usv platform,Legacy,USA,TRUE
11/24/25,Liquid Robotics (Boeing),https://www.liquid-robotics.com/,Herndon VA,"Liquid Robotics, now owned by Boeing, pioneered the Wave Glider, an innovative wave and solar-powered unmanned surface vehicle that harvests energy from ocean waves for propulsion. The Wave Glider is designed for persistent ocean monitoring and can operate autonomously for months at sea collecting environmental and maritime domain awareness data. The technology represents a unique approach to long-endurance maritime surveillance with minimal logistical support requirements.",38.9695316,-77.3859479,https://zrwmb79p32.ufs.sh/f/TyYukHBJrHb93yZy7VYAPn8DyHaJqhVBOZXSj74Wo9kGpz0C,,company,usv platform,Legacy,USA,TRUE
